timestamp,price,datetime,last_digit
1758268242,1109.75,2025-09-19 07:50:42,5
1758268244,1109.74,2025-09-19 07:50:44,4
1758268246,1109.74,2025-09-19 07:50:46,4
1758268248,1109.81,2025-09-19 07:50:48,1
1758268250,1109.54,2025-09-19 07:50:50,4
1758268252,1109.5,2025-09-19 07:50:52,5
1758268254,1109.16,2025-09-19 07:50:54,6
1758268256,1109.31,2025-09-19 07:50:56,1
1758268258,1109.65,2025-09-19 07:50:58,5
1758268260,1109.62,2025-09-19 07:51:00,2
1758268262,1109.8,2025-09-19 07:51:02,8
1758268264,1109.68,2025-09-19 07:51:04,8
1758268266,1110.17,2025-09-19 07:51:06,7
1758268268,1110.07,2025-09-19 07:51:08,7
1758268270,1109.58,2025-09-19 07:51:10,8
1758268272,1109.33,2025-09-19 07:51:12,3
1758268274,1109.5,2025-09-19 07:51:14,5
1758268276,1109.58,2025-09-19 07:51:16,8
1758268278,1109.74,2025-09-19 07:51:18,4
1758268280,1109.5,2025-09-19 07:51:20,5
1758268282,1109.67,2025-09-19 07:51:22,7
1758268284,1109.94,2025-09-19 07:51:24,4
1758268286,1110.05,2025-09-19 07:51:26,5
1758268288,1110.32,2025-09-19 07:51:28,2
1758268290,1110.87,2025-09-19 07:51:30,7
1758268292,1110.76,2025-09-19 07:51:32,6
1758268294,1110.91,2025-09-19 07:51:34,1
1758268296,1111.41,2025-09-19 07:51:36,1
1758268298,1111.48,2025-09-19 07:51:38,8
1758268300,1111.59,2025-09-19 07:51:40,9
1758268302,1112.02,2025-09-19 07:51:42,2
1758268304,1112.13,2025-09-19 07:51:44,3
1758268306,1112.65,2025-09-19 07:51:46,5
1758268308,1112.64,2025-09-19 07:51:48,4
1758268310,1112.32,2025-09-19 07:51:50,2
1758268312,1112.78,2025-09-19 07:51:52,8
1758268314,1113.2,2025-09-19 07:51:54,2
1758268316,1112.96,2025-09-19 07:51:56,6
1758268318,1112.59,2025-09-19 07:51:58,9
1758268320,1112.56,2025-09-19 07:52:00,6
1758268322,1112.67,2025-09-19 07:52:02,7
1758268324,1112.92,2025-09-19 07:52:04,2
1758268326,1112.8,2025-09-19 07:52:06,8
1758268328,1112.68,2025-09-19 07:52:08,8
1758268330,1112.72,2025-09-19 07:52:10,2
1758268332,1112.09,2025-09-19 07:52:12,9
1758268334,1112.04,2025-09-19 07:52:14,4
1758268336,1112.54,2025-09-19 07:52:16,4
1758268338,1112.51,2025-09-19 07:52:18,1
1758268340,1112.22,2025-09-19 07:52:20,2
1758268342,1112.65,2025-09-19 07:52:22,5
1758268344,1112.55,2025-09-19 07:52:24,5
1758268346,1112.37,2025-09-19 07:52:26,7
1758268348,1112.39,2025-09-19 07:52:28,9
1758268350,1112.46,2025-09-19 07:52:30,6
1758268352,1113.05,2025-09-19 07:52:32,5
1758268354,1113.05,2025-09-19 07:52:34,5
1758268356,1113.49,2025-09-19 07:52:36,9
1758268358,1113.76,2025-09-19 07:52:38,6
1758268360,1114.02,2025-09-19 07:52:40,2
1758268362,1114.23,2025-09-19 07:52:42,3
1758268364,1114.07,2025-09-19 07:52:44,7
1758268366,1113.59,2025-09-19 07:52:46,9
1758268368,1113.95,2025-09-19 07:52:48,5
1758268370,1114.03,2025-09-19 07:52:50,3
1758268372,1114.04,2025-09-19 07:52:52,4
1758268374,1114.42,2025-09-19 07:52:54,2
1758268376,1114.49,2025-09-19 07:52:56,9
1758268378,1114.64,2025-09-19 07:52:58,4
1758268380,1114.72,2025-09-19 07:53:00,2
1758268382,1114.56,2025-09-19 07:53:02,6
1758268384,1114.25,2025-09-19 07:53:04,5
1758268386,1113.86,2025-09-19 07:53:06,6
1758268388,1113.61,2025-09-19 07:53:08,1
1758268390,1113.38,2025-09-19 07:53:10,8
1758268392,1113.82,2025-09-19 07:53:12,2
1758268394,1113.13,2025-09-19 07:53:14,3
1758268396,1113.61,2025-09-19 07:53:16,1
1758268398,1113.19,2025-09-19 07:53:18,9
1758268400,1113.68,2025-09-19 07:53:20,8
1758268402,1113.55,2025-09-19 07:53:22,5
1758268404,1113.36,2025-09-19 07:53:24,6
1758268406,1113.6,2025-09-19 07:53:26,6
1758268408,1113.57,2025-09-19 07:53:28,7
1758268410,1113.49,2025-09-19 07:53:30,9
1758268412,1113.61,2025-09-19 07:53:32,1
1758268414,1113.52,2025-09-19 07:53:34,2
1758268416,1113.82,2025-09-19 07:53:36,2
1758268418,1113.61,2025-09-19 07:53:38,1
1758268420,1114.04,2025-09-19 07:53:40,4
1758268422,1113.79,2025-09-19 07:53:42,9
1758268424,1113.77,2025-09-19 07:53:44,7
1758268426,1113.43,2025-09-19 07:53:46,3
1758268428,1113.38,2025-09-19 07:53:48,8
1758268430,1113.51,2025-09-19 07:53:50,1
1758268432,1113.63,2025-09-19 07:53:52,3
1758268434,1113.48,2025-09-19 07:53:54,8
1758268436,1113.1,2025-09-19 07:53:56,1
1758268438,1113.1,2025-09-19 07:53:58,1
1758268440,1113.4,2025-09-19 07:54:00,4
1758268442,1113.4,2025-09-19 07:54:02,4
1758268444,1113.72,2025-09-19 07:54:04,2
1758268446,1113.77,2025-09-19 07:54:06,7
1758268448,1114.31,2025-09-19 07:54:08,1
1758268450,1114.09,2025-09-19 07:54:10,9
1758268452,1113.64,2025-09-19 07:54:12,4
1758268454,1114.01,2025-09-19 07:54:14,1
1758268456,1113.99,2025-09-19 07:54:16,9
1758268458,1113.7,2025-09-19 07:54:18,7
1758268460,1113.43,2025-09-19 07:54:20,3
1758268462,1113.66,2025-09-19 07:54:22,6
1758268464,1113.51,2025-09-19 07:54:24,1
1758268466,1113.53,2025-09-19 07:54:26,3
1758268468,1113.89,2025-09-19 07:54:28,9
1758268470,1113.79,2025-09-19 07:54:30,9
1758268472,1113.61,2025-09-19 07:54:32,1
1758268474,1113.3,2025-09-19 07:54:34,3
1758268476,1113.19,2025-09-19 07:54:36,9
1758268478,1113.46,2025-09-19 07:54:38,6
1758268480,1113.4,2025-09-19 07:54:40,4
1758268482,1113.39,2025-09-19 07:54:42,9
1758268484,1113.06,2025-09-19 07:54:44,6
1758268486,1113.28,2025-09-19 07:54:46,8
1758268488,1113.11,2025-09-19 07:54:48,1
1758268490,1113.28,2025-09-19 07:54:50,8
1758268492,1112.84,2025-09-19 07:54:52,4
1758268494,1112.92,2025-09-19 07:54:54,2
1758268496,1113.17,2025-09-19 07:54:56,7
1758268498,1112.94,2025-09-19 07:54:58,4
1758268500,1112.49,2025-09-19 07:55:00,9
1758268502,1112.24,2025-09-19 07:55:02,4
1758268504,1112.78,2025-09-19 07:55:04,8
1758268506,1112.94,2025-09-19 07:55:06,4
1758268508,1113.25,2025-09-19 07:55:08,5
1758268510,1113.46,2025-09-19 07:55:10,6
1758268512,1113.4,2025-09-19 07:55:12,4
1758268514,1113.12,2025-09-19 07:55:14,2
1758268516,1113.16,2025-09-19 07:55:16,6
1758268518,1113.05,2025-09-19 07:55:18,5
1758268520,1113.0,2025-09-19 07:55:20,0
1758268522,1113.16,2025-09-19 07:55:22,6
1758268524,1113.35,2025-09-19 07:55:24,5
1758268526,1113.73,2025-09-19 07:55:26,3
1758268528,1113.7,2025-09-19 07:55:28,7
1758268530,1113.86,2025-09-19 07:55:30,6
1758268532,1113.7,2025-09-19 07:55:32,7
1758268534,1113.47,2025-09-19 07:55:34,7
1758268536,1113.43,2025-09-19 07:55:36,3
1758268538,1113.63,2025-09-19 07:55:38,3
1758268540,1114.56,2025-09-19 07:55:40,6
1758268542,1114.38,2025-09-19 07:55:42,8
1758268544,1114.23,2025-09-19 07:55:44,3
1758268546,1114.24,2025-09-19 07:55:46,4
1758268548,1114.06,2025-09-19 07:55:48,6
1758268550,1113.76,2025-09-19 07:55:50,6
1758268552,1113.97,2025-09-19 07:55:52,7
1758268554,1114.31,2025-09-19 07:55:54,1
1758268556,1114.25,2025-09-19 07:55:56,5
1758268558,1113.87,2025-09-19 07:55:58,7
1758268560,1114.16,2025-09-19 07:56:00,6
1758268562,1114.35,2025-09-19 07:56:02,5
1758268564,1114.39,2025-09-19 07:56:04,9
1758268566,1114.1,2025-09-19 07:56:06,1
1758268568,1113.85,2025-09-19 07:56:08,5
1758268570,1113.55,2025-09-19 07:56:10,5
1758268572,1113.68,2025-09-19 07:56:12,8
1758268574,1113.2,2025-09-19 07:56:14,2
1758268576,1113.09,2025-09-19 07:56:16,9
1758268578,1113.11,2025-09-19 07:56:18,1
1758268580,1113.13,2025-09-19 07:56:20,3
1758268582,1113.33,2025-09-19 07:56:22,3
1758268584,1113.41,2025-09-19 07:56:24,1
1758268586,1113.92,2025-09-19 07:56:26,2
1758268588,1113.31,2025-09-19 07:56:28,1
1758268590,1113.64,2025-09-19 07:56:30,4
1758268592,1113.64,2025-09-19 07:56:32,4
1758268594,1113.77,2025-09-19 07:56:34,7
1758268596,1113.58,2025-09-19 07:56:36,8
1758268598,1113.51,2025-09-19 07:56:38,1
1758268600,1113.28,2025-09-19 07:56:40,8
1758268602,1113.19,2025-09-19 07:56:42,9
1758268604,1113.15,2025-09-19 07:56:44,5
1758268606,1113.47,2025-09-19 07:56:46,7
1758268608,1113.21,2025-09-19 07:56:48,1
1758268610,1113.18,2025-09-19 07:56:50,8
1758268612,1112.73,2025-09-19 07:56:52,3
1758268614,1112.24,2025-09-19 07:56:54,4
1758268616,1112.16,2025-09-19 07:56:56,6
1758268618,1112.36,2025-09-19 07:56:58,6
1758268620,1112.43,2025-09-19 07:57:00,3
1758268622,1112.21,2025-09-19 07:57:02,1
1758268624,1112.34,2025-09-19 07:57:04,4
1758268626,1112.29,2025-09-19 07:57:06,9
1758268628,1112.12,2025-09-19 07:57:08,2
1758268630,1111.72,2025-09-19 07:57:10,2
1758268632,1111.84,2025-09-19 07:57:12,4
1758268634,1112.19,2025-09-19 07:57:14,9
1758268636,1112.12,2025-09-19 07:57:16,2
1758268638,1111.99,2025-09-19 07:57:18,9
1758268640,1111.7,2025-09-19 07:57:20,7
1758268642,1112.13,2025-09-19 07:57:22,3
1758268644,1112.1,2025-09-19 07:57:24,1
1758268646,1112.35,2025-09-19 07:57:26,5
1758268648,1112.44,2025-09-19 07:57:28,4
1758268650,1112.18,2025-09-19 07:57:30,8
1758268652,1112.16,2025-09-19 07:57:32,6
1758268654,1112.14,2025-09-19 07:57:34,4
1758268656,1111.94,2025-09-19 07:57:36,4
1758268658,1112.24,2025-09-19 07:57:38,4
1758268660,1112.29,2025-09-19 07:57:40,9
1758268662,1112.26,2025-09-19 07:57:42,6
1758268664,1111.9,2025-09-19 07:57:44,9
1758268666,1112.06,2025-09-19 07:57:46,6
1758268668,1112.09,2025-09-19 07:57:48,9
1758268670,1112.18,2025-09-19 07:57:50,8
1758268672,1112.32,2025-09-19 07:57:52,2
1758268674,1112.12,2025-09-19 07:57:54,2
1758268676,1112.42,2025-09-19 07:57:56,2
1758268678,1112.54,2025-09-19 07:57:58,4
1758268680,1112.81,2025-09-19 07:58:00,1
1758268682,1112.93,2025-09-19 07:58:02,3
1758268684,1112.95,2025-09-19 07:58:04,5
1758268686,1112.49,2025-09-19 07:58:06,9
1758268688,1112.01,2025-09-19 07:58:08,1
1758268690,1111.71,2025-09-19 07:58:10,1
1758268692,1111.97,2025-09-19 07:58:12,7
1758268694,1112.1,2025-09-19 07:58:14,1
1758268696,1111.72,2025-09-19 07:58:16,2
1758268698,1111.5,2025-09-19 07:58:18,5
1758268700,1111.52,2025-09-19 07:58:20,2
1758268702,1111.09,2025-09-19 07:58:22,9
1758268704,1110.89,2025-09-19 07:58:24,9
1758268706,1111.2,2025-09-19 07:58:26,2
1758268708,1110.94,2025-09-19 07:58:28,4
1758268710,1110.93,2025-09-19 07:58:30,3
1758268712,1111.24,2025-09-19 07:58:32,4
1758268714,1111.42,2025-09-19 07:58:34,2
1758268716,1111.61,2025-09-19 07:58:36,1
1758268718,1111.91,2025-09-19 07:58:38,1
1758268720,1111.3,2025-09-19 07:58:40,3
1758268722,1110.72,2025-09-19 07:58:42,2
1758268724,1110.31,2025-09-19 07:58:44,1
1758268726,1109.95,2025-09-19 07:58:46,5
1758268728,1110.1,2025-09-19 07:58:48,1
1758268730,1110.07,2025-09-19 07:58:50,7
1758268732,1110.23,2025-09-19 07:58:52,3
1758268734,1110.26,2025-09-19 07:58:54,6
1758268736,1110.18,2025-09-19 07:58:56,8
1758268738,1110.39,2025-09-19 07:58:58,9
1758268740,1110.6,2025-09-19 07:59:00,6
1758268742,1110.32,2025-09-19 07:59:02,2
1758268744,1110.47,2025-09-19 07:59:04,7
1758268746,1110.63,2025-09-19 07:59:06,3
1758268748,1111.1,2025-09-19 07:59:08,1
1758268750,1111.05,2025-09-19 07:59:10,5
1758268752,1111.11,2025-09-19 07:59:12,1
1758268754,1111.22,2025-09-19 07:59:14,2
1758268756,1111.35,2025-09-19 07:59:16,5
1758268758,1111.36,2025-09-19 07:59:18,6
1758268760,1111.3,2025-09-19 07:59:20,3
1758268762,1111.28,2025-09-19 07:59:22,8
1758268764,1111.15,2025-09-19 07:59:24,5
1758268766,1111.02,2025-09-19 07:59:26,2
1758268768,1110.71,2025-09-19 07:59:28,1
1758268770,1110.83,2025-09-19 07:59:30,3
1758268772,1110.59,2025-09-19 07:59:32,9
1758268774,1110.37,2025-09-19 07:59:34,7
1758268776,1110.3,2025-09-19 07:59:36,3
1758268778,1110.13,2025-09-19 07:59:38,3
1758268780,1110.42,2025-09-19 07:59:40,2
1758268782,1110.61,2025-09-19 07:59:42,1
1758268784,1110.31,2025-09-19 07:59:44,1
1758268786,1110.02,2025-09-19 07:59:46,2
1758268788,1109.64,2025-09-19 07:59:48,4
1758268790,1109.43,2025-09-19 07:59:50,3
1758268792,1108.96,2025-09-19 07:59:52,6
1758268794,1108.92,2025-09-19 07:59:54,2
1758268796,1108.97,2025-09-19 07:59:56,7
1758268798,1108.97,2025-09-19 07:59:58,7
1758268800,1109.16,2025-09-19 08:00:00,6
1758268802,1108.66,2025-09-19 08:00:02,6
1758268804,1109.12,2025-09-19 08:00:04,2
1758268806,1108.97,2025-09-19 08:00:06,7
1758268808,1109.01,2025-09-19 08:00:08,1
1758268810,1108.85,2025-09-19 08:00:10,5
1758268812,1108.71,2025-09-19 08:00:12,1
1758268814,1108.12,2025-09-19 08:00:14,2
1758268816,1108.14,2025-09-19 08:00:16,4
1758268818,1107.98,2025-09-19 08:00:18,8
1758268820,1107.88,2025-09-19 08:00:20,8
1758268822,1107.99,2025-09-19 08:00:22,9
1758268824,1108.09,2025-09-19 08:00:24,9
1758268826,1108.39,2025-09-19 08:00:26,9
1758268828,1108.33,2025-09-19 08:00:28,3
1758268830,1107.94,2025-09-19 08:00:30,4
1758268832,1108.08,2025-09-19 08:00:32,8
1758268834,1108.06,2025-09-19 08:00:34,6
1758268836,1108.03,2025-09-19 08:00:36,3
1758268838,1107.36,2025-09-19 08:00:38,6
1758268840,1107.44,2025-09-19 08:00:40,4
1758268842,1107.88,2025-09-19 08:00:42,8
1758268844,1108.06,2025-09-19 08:00:44,6
1758268846,1108.41,2025-09-19 08:00:46,1
1758268848,1108.22,2025-09-19 08:00:48,2
1758268850,1108.05,2025-09-19 08:00:50,5
1758268852,1108.18,2025-09-19 08:00:52,8
1758268854,1107.94,2025-09-19 08:00:54,4
1758268856,1107.68,2025-09-19 08:00:56,8
1758268858,1107.74,2025-09-19 08:00:58,4
1758268860,1107.64,2025-09-19 08:01:00,4
1758268862,1107.86,2025-09-19 08:01:02,6
1758268864,1108.21,2025-09-19 08:01:04,1
1758268866,1108.12,2025-09-19 08:01:06,2
1758268868,1108.2,2025-09-19 08:01:08,2
1758268870,1108.13,2025-09-19 08:01:10,3
1758268872,1108.42,2025-09-19 08:01:12,2
1758268874,1108.03,2025-09-19 08:01:14,3
1758268876,1107.95,2025-09-19 08:01:16,5
1758268878,1108.07,2025-09-19 08:01:18,7
1758268880,1108.26,2025-09-19 08:01:20,6
1758268882,1108.2,2025-09-19 08:01:22,2
1758268884,1108.27,2025-09-19 08:01:24,7
1758268886,1108.74,2025-09-19 08:01:26,4
1758268888,1108.63,2025-09-19 08:01:28,3
1758268890,1108.87,2025-09-19 08:01:30,7
1758268892,1108.47,2025-09-19 08:01:32,7
1758268894,1108.41,2025-09-19 08:01:34,1
1758268896,1108.65,2025-09-19 08:01:36,5
1758268898,1108.83,2025-09-19 08:01:38,3
1758268900,1108.43,2025-09-19 08:01:40,3
1758268902,1108.95,2025-09-19 08:01:42,5
1758268904,1108.82,2025-09-19 08:01:44,2
1758268906,1108.67,2025-09-19 08:01:46,7
1758268908,1108.43,2025-09-19 08:01:48,3
1758268910,1108.38,2025-09-19 08:01:50,8
1758268912,1108.34,2025-09-19 08:01:52,4
1758268914,1108.07,2025-09-19 08:01:54,7
1758268916,1107.8,2025-09-19 08:01:56,8
1758268918,1108.17,2025-09-19 08:01:58,7
